Place,Month,AT,HAT,LAT,HT,LT,Rain,Mrain,Sun,Msnow,Snow,AW,MW,PMW,Vap,Hum,Lhum,Corrosion
Naha,1,28.3,26,31.1,33.6,23.4,178,79,206.5,0,0,6,14.5,20.9,28.5,74,43,674
Naha,2,25.3,23.5,27.7,30.8,19.9,200,118,129.7,0,0,7.3,22,33.6,23.4,72,40,2606
Naha,3,21.3,19.1,23.8,28.5,13.9,121,79,120,0,0,5,12.7,20.6,17.4,66,34,546
Naha,4,17.3,15,19.6,23.6,10.3,130,52,89.4,0,0,5.4,14.5,21.5,12.7,64,37,704
Naha,5,16.8,14.1,19.8,23.5,10.6,66,36.5,145.4,0,0,5,13.1,20.2,11.8,61,32,620
Naha,6,17.9,15.7,20.4,24.1,11.7,227,55,82.9,0,0,5.4,13.4,20.6,14.9,72,38,962
Naha,7,18.4,16,21.2,26.1,12,185,51.5,110.1,0,0,5.6,18.4,26.6,15.2,69,37,1219
Naha,8,20.9,18.7,23.6,27.2,14,100.5,36.5,149.1,0,0,5.1,13.9,19.3,18.2,73,42,901
Naha,9,23.6,21.2,26.3,30.1,17.3,354.5,66.5,112.5,0,0,4.9,14.7,21.7,23.7,81,38,779
Naha,10,26.9,24.9,29.4,32.5,20.4,397.5,117.5,134.5,0,0,5.1,14.2,19.8,30.3,85,56,1331
Naha,11,29.3,27.2,32.1,33.9,23.8,494,212,235.5,0,0,6.3,33.1,50.2,32.6,80,54,2551
Miyakojima,1,27.9,26.1,30.2,31.5,23.7,178.5,87.5,188.2,0,0,4.9,11.7,20,29.3,78,51,1070
Miyakojima,2,25.3,23.6,27.4,30.5,20.2,135,68,157.2,0,0,6.8,23.7,37,24,74,37,2799
Miyakojima,3,22,20.3,24.1,28.9,13.9,187.5,69,94.5,0,0,5,11.5,18.8,20,74,40,1196
Miyakojima,4,18.5,16.8,20.4,24.8,13,134.5,19,61.7,0,0,5.6,12.2,18.9,14.8,68,39,1242
Miyakojima,5,17.8,15.7,20.4,24.3,12.1,53,20.5,146.4,0,0,4.6,10.7,17.3,13.1,64,37,933
Miyakojima,6,18.7,16.8,21,24.4,13.4,128,45,105.1,0,0,4.9,11.4,18.4,16.2,74,39,1464
Miyakojima,7,19.3,17.2,22,26.6,13.6,152.5,84,120.3,0,0,4.7,10.2,18.3,17.1,74,42,1140
Miyakojima,8,21.8,19.8,24.5,27.3,15.2,87.5,47,174,0,0,4.1,9.4,16.1,20.4,77,41,870
Miyakojima,9,25,23,27.5,30.8,19.6,411,85,95.9,0,0,4.3,11.3,16.9,27.2,85,44,787
Miyakojima,10,28.1,26.3,30.5,32.5,22.2,135,34,174.8,0,0,4.5,10.4,15.9,32.7,86,57,762
Miyakojima,11,29.4,27.3,32.1,34.4,25.6,105,34,246.2,0,0,5.1,21.2,35.8,33.4,82,58,2344
Miyakojima,12,28.7,26.7,31.4,32.4,24.3,193,39.5,198.9,0,0,3.7,13.1,20.6,33,84,63,1015
Fukuoka,1,20.7,17.4,24.7,29.9,11.1,227.5,70.5,172.2,0,0,3.3,18,27.6,17.3,69,22,927
Fukuoka,2,13.4,10.2,17.1,22.8,5.2,119.5,38,112.1,0,0,2.9,10.3,19.1,9.9,63,25,746
Fukuoka,3,8.1,5.3,11.4,16.1,2.5,77,15.5,104.8,0,0,2.9,12.8,20.1,6.8,63,29,506
Fukuoka,4,7.5,3.9,11.7,17.3,0.6,57.5,25.5,146.3,0,0,2.7,9.8,15.1,6.5,62,15,467
Fukuoka,5,7.6,4.5,11.3,20.9,1.1,83,15.5,105.2,0,0,3,11.2,17.9,7.4,68,28,526
Fukuoka,6,11.5,7.6,16.1,23.2,1.6,102.5,19,175.1,0,0,3.4,13.7,19.7,9.3,66,18,581
Fukuoka,7,15.6,11.4,20.6,24.9,5.6,61,17.5,179.9,0,0,2.6,11,17.4,11.1,63,11,455
Fukuoka,8,20.5,16,25.8,30.8,9.6,94,55,280.7,0,0,2.9,11.2,18.3,14.2,59,10,547
Fukuoka,9,22.6,20.1,26.6,30.7,17,101,38,107.9,0,0,2.7,8.1,12.8,21.4,79,22,524
Fukuoka,10,27.1,24.2,30.9,37,20.1,373,102,148,0,0,2.6,9.1,15.2,27.9,79,30,534
Fukuoka,11,26.5,24.4,29.7,32.6,21.1,462.5,87,79.7,0,0,2.9,10.3,16,29.2,85,52,1086
Fukuoka,12,24.2,21.2,28.2,30.8,16.7,107,61,159.5,0,0,2.7,11.5,16.1,22.4,75,32,594
Shizuoka,1,28.4,25,32.3,36.6,20.7,89.5,25,226,0,0,2,7.1,12.6,28.5,74,34,354
Shizuoka,2,25.4,21.6,29.7,35.7,15.4,227,111,208.8,0,0,2.3,11.3,21.5,22.7,70,25,529
Shizuoka,3,21.1,18,24.5,31.6,13.1,298,83,139.2,0,0,2.3,9.5,19.3,17.7,71,18,247
Shizuoka,4,13.1,8.4,17.9,22.2,2.3,104.5,55,200.3,0,0,2,8,18.6,9.6,62,18,245
Shizuoka,5,8.2,3.5,13.2,18.8,-2.1,59.5,27,212.7,0,0,2.2,8.4,18.7,6.1,56,16,342
Shizuoka,6,7.2,2.2,12,17.8,-1.5,66.5,26.5,228.2,0,0,2.2,8.6,16.5,5.3,53,10,180
Shizuoka,7,7.6,3.7,11.5,19,-0.8,205,66,131.4,0,0,2,8.1,15.6,6.7,63,15,222
Shizuoka,8,10.5,5.8,15.3,24,-1.3,368.5,132,203.4,0,0,2.5,9.4,19.8,7.8,60,10,405
Shizuoka,9,14.2,9.6,18.8,26.5,2.6,209,123.5,199.5,0,0,2.2,9.1,19.5,10.3,64,14,404
Shizuoka,10,19,14.4,23.6,28.4,10.1,175,41.5,250.4,0,0,2.2,8.8,18.3,14.9,68,16,405
Shizuoka,11,22.7,19.4,26.5,32.6,17,97,21.5,170.7,0,0,2.1,6.8,12.4,20.6,76,25,443
Shizuoka,12,25.9,22.7,29.8,36.6,19.7,160,40.5,193.9,0,0,1.9,7.4,14.1,25.8,78,43,570
Tsukuba,1,22.9,18.3,27.8,35.2,9,175,74,172.3,0,0,2.4,12.2,22.9,22.5,79,37,408
Tsukuba,2,17.8,13.8,22.2,30.4,5.1,417,124.5,122.6,0,0,2.4,14.5,28.1,17,82,27,266
Tsukuba,3,9.8,3.8,16.6,21.2,-1.9,16,7,185.3,0,0,1.8,8.2,19.1,9,74,19,137
Tsukuba,4,4.8,-1,11.2,16.2,-5.6,45.5,17.5,192.7,0,0,2.2,9.3,17.3,5.6,67,14,57
Tsukuba,5,2.8,-3.6,9.6,14.9,-7.5,24,15.5,220.8,2,3,2,8.9,17.3,4.3,59,11,62
Tsukuba,6,3.5,-2.1,9.1,19.4,-7.7,163,110,158,26,40,2.3,9.3,21,5,63,15,147
Tsukuba,7,8.1,1.8,14,23,-5.3,86.5,24,213.1,0,0,2.7,10.8,19.6,6.6,61,12,180
Tsukuba,8,12.8,6.6,19.1,25,0,146,52,227.7,0,0,2.5,8,16.8,9,62,9,263
Tsukuba,9,18.2,12.1,24.3,31.1,6.1,111.5,42.5,240.3,0,0,2.6,10.2,18,14.6,71,14,161
Tsukuba,10,21.8,18.3,26,32.3,15.2,332,71.5,151.3,0,0,2.3,6.5,15.2,21,82,26,505
Tsukuba,11,25,21,29.8,35.1,17.6,97,23,188.5,0,0,2.1,8.9,15.3,25.3,81,43,207
Tsukuba,12,25.8,22.1,30.6,36.2,17.6,169.5,37,174.8,0,0,2.6,9.6,17.5,26.8,82,32,365
Choshi,1,24,21.8,26.7,33.5,17.5,146.5,37,199,0,0,5.9,21.1,33.4,24.7,82,46,1591
Choshi,2,20.1,17.5,22.5,27.6,11.1,486,130.5,124.8,0,0,7.1,33.5,46.1,19.3,81,34,1303
Choshi,3,14.1,10.1,17.4,21,5.3,95,46,174.7,0,0,5.6,18.4,26.4,10.8,65,25,562
Choshi,4,8.8,5.2,12.3,18.4,1,122.5,42.5,185.4,0,0,5.4,16.6,23.3,7.3,63,21,430
Choshi,5,6.7,2.7,10.4,15.7,-0.4,94.5,49,198.1,0,0,5.3,16.2,21.7,6,60,28,285
Choshi,6,6.7,3.6,10.2,17.9,-1.4,233,85,128.5,0,0,7.3,27.6,35.8,6.9,67,24,714
Choshi,7,10.1,6.5,13.7,20.7,-0.3,117,31,191.9,0,0,6.6,16.5,24.7,8.5,66,21,558
Choshi,8,14.3,10.8,17.6,21.3,3.5,70.5,13.5,232.2,0,0,5.4,15.6,19.2,11,67,22,567
Choshi,9,18.2,15.2,21.6,26.1,12.2,151,56.5,257,0,0,5.7,21.1,26.8,16.6,78,30,541
Choshi,10,21.1,18.9,24,27.3,17.1,177.5,56,172.3,0,0,4.5,14.3,19.4,22.3,89,46,830
Choshi,11,24,21.6,27.1,30.9,20,77.5,23,214.9,0,0,4.5,12.8,18.6,26.5,89,53,676
Choshi,12,24.9,22.6,28.2,33.1,18.9,113.5,36,212.7,0,0,6,14.1,20.3,28.2,90,55,745
